ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Recall,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Recall,Consensus Hit Rate,Consensus MCC
PF00001,PF07047:PF00398:PF04103:PF00457:PF05637:PF13705:PF12697:PF07223:PF01182:PF10294,257,211,107,150,104,1997,0.51,0.89,0.42,0.42,0.4,4,4,253,0,2101,1.0,0.89,0.02,0.02,0.12
PF00002,PF13676:PF12171:PF07717:PF04146:PF08074:PF12678:PF10258:PF00160:PF00620:PF04434,102,375,70,32,305,1951,0.19,0.86,0.69,0.69,0.31,25,22,80,3,2253,0.88,0.96,0.22,0.22,0.43
PF00003,PF00497:PF10565:PF02204:PF01985:PF14893:PF12171:PF02488:PF06446:PF02024:PF11415,57,146,36,21,110,2191,0.25,0.94,0.63,0.63,0.37,0,0,57,0,2301,0,0.98,0.0,0.0,0
PF00004,PF08477:PF12849:PF13388:PF00100:PF03067:PF08757:PF13304:PF00635:PF05517:PF11999,328,207,107,221,100,1930,0.52,0.86,0.33,0.33,0.34,3,3,325,0,2030,1.0,0.86,0.01,0.01,0.09
PF00005,PF02893:PF03101:PF03564:PF13961:PF03732:PF01375:PF13176:PF00610:PF12041:PF06119,342,288,137,205,151,1865,0.48,0.85,0.4,0.4,0.35,12,12,330,0,2016,1.0,0.86,0.04,0.04,0.17
PF00006,PF00306:PF02204:PF01342:PF02488:PF11341:PF06446:PF14224:PF02024:PF11415:PF14980,92,92,40,52,52,2214,0.43,0.96,0.43,0.43,0.41,0,0,92,0,2266,0,0.96,0.0,0.0,0
PF00007,PF11630:PF06446:PF13698:PF02488:PF02024:PF11415:PF08092:PF00451:PF08089:PF08396,19,7,1,18,6,2333,0.14,0.99,0.05,0.05,0.08,0,0,19,0,2339,0,0.99,0.0,0.0,0
PF00008,PF12661:PF11936:PF00594:PF00054:PF01463:PF01382:PF00754:PF12662:PF00354:PF12171,158,202,117,41,85,2115,0.58,0.95,0.74,0.74,0.63,14,14,144,0,2200,1.0,0.94,0.09,0.09,0.29
PF00010,PF03067:PF09815:PF12259:PF13914:PF07530:PF03824:PF08214:PF10239:PF00635:PF08757,183,172,69,114,103,2072,0.4,0.91,0.38,0.38,0.34,3,3,180,0,2175,1.0,0.92,0.02,0.02,0.12
PF00011,PF10639:PF00436:PF06632:PF14622:PF03969:PF09398:PF14964:PF09949:PF04719:PF00777,55,147,36,19,111,2192,0.24,0.94,0.65,0.65,0.38,3,3,52,0,2303,1.0,0.98,0.05,0.05,0.23
PF00012,PF09728:PF04908:PF00808:PF14728:PF03443:PF06283:PF06098:PF10258:PF09733:PF09725,126,155,54,72,101,2131,0.35,0.93,0.43,0.43,0.35,1,1,125,0,2232,1.0,0.95,0.01,0.01,0.09
PF00013,PF09005:PF16274:PF12171:PF12072:PF16544:PF00160:PF07535:PF06602:PF07915:PF16275,131,249,81,50,168,2059,0.33,0.91,0.62,0.62,0.4,6,6,125,0,2227,1.0,0.95,0.05,0.05,0.21
PF00014,PF14625:PF12171:PF00620:PF00160:PF14604:PF08719:PF04181:PF12807:PF06602:PF01985,83,375,56,27,319,1956,0.15,0.85,0.67,0.67,0.27,19,14,69,5,2270,0.74,0.97,0.17,0.17,0.34
PF00015,PF13879:PF05556:PF01569:PF05678:PF15247:PF04191:PF15018:PF04640:PF02301:PF04231,20,123,10,10,113,2225,0.08,0.95,0.5,0.5,0.19,1,1,19,0,2338,1.0,0.99,0.05,0.05,0.22
PF00016,PF14980:PF11341:PF02425:PF07589:PF09122:PF15696:PF04370:PF15463:PF16851:PF02488,10,8,0,10,8,2340,0.0,0.99,0.0,0.0,-0.0,0,0,10,0,2348,0,1.0,0.0,0.0,0
PF00017,PF05406:PF02902:PF14521:PF00177:PF00139:PF01501:PF00929:PF07762:PF00379:PF09814,146,311,79,67,232,1980,0.25,0.87,0.54,0.54,0.31,21,20,126,1,2211,0.95,0.95,0.14,0.14,0.35
