ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Recall,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Recall,Consensus Hit Rate,Consensus MCC
PF00001,PF07047:PF00398:PF04103:PF00457:PF05637,131,46,26,105,20,852,0.57,0.88,0.2,0.2,0.28,3,3,128,0,872,1.0,0.87,0.02,0.02,0.14
PF00002,PF13676:PF12171:PF07717:PF04146:PF08074,56,105,31,25,74,873,0.3,0.9,0.55,0.55,0.36,19,12,44,7,940,0.63,0.95,0.21,0.21,0.35
PF00003,PF00497:PF10565:PF02204:PF01985:PF14893,32,55,17,15,38,933,0.31,0.95,0.53,0.53,0.38,6,6,26,0,971,1.0,0.97,0.19,0.19,0.43
PF00004,PF08477:PF12849:PF13388:PF00100:PF03067,155,84,45,110,39,809,0.54,0.85,0.29,0.29,0.32,4,4,151,0,848,1.0,0.85,0.03,0.03,0.15
PF00005,PF02893:PF03101:PF03564:PF13961:PF03732,165,110,60,105,50,788,0.55,0.85,0.36,0.36,0.36,15,14,151,1,837,0.93,0.85,0.08,0.08,0.26
PF00006,PF00306:PF02204:PF01342:PF02488:PF11341,46,46,19,27,27,930,0.41,0.95,0.41,0.41,0.38,1,1,45,0,957,1.0,0.96,0.02,0.02,0.14
PF00007,PF11630:PF06446:PF13698:PF02488:PF02024,9,1,0,9,1,993,0.0,0.99,0.0,0.0,-0.0,0,0,9,0,994,0,0.99,0.0,0.0,0
PF00008,PF12661:PF11936:PF00594:PF00054:PF01463,76,50,44,32,6,921,0.88,0.96,0.58,0.58,0.7,6,6,70,0,927,1.0,0.93,0.08,0.08,0.27
PF00010,PF03067:PF09815:PF12259:PF13914:PF07530,99,42,22,77,20,884,0.52,0.9,0.22,0.22,0.3,3,3,96,0,904,1.0,0.9,0.03,0.03,0.17
PF00011,PF10639:PF00436:PF06632:PF14622:PF03969,34,56,17,17,39,930,0.3,0.94,0.5,0.5,0.36,5,4,30,1,968,0.8,0.97,0.12,0.12,0.3
PF00012,PF09728:PF04908:PF00808:PF14728:PF03443,69,75,27,42,48,886,0.36,0.91,0.39,0.39,0.33,7,7,62,0,934,1.0,0.94,0.1,0.1,0.31
PF00013,PF09005:PF16274:PF12171:PF12072:PF16544,70,47,28,42,19,914,0.6,0.94,0.4,0.4,0.46,2,2,68,0,933,1.0,0.93,0.03,0.03,0.16
