ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Hit Rate,Consensus MCC
PF09596,PF12478,1,5,0,1,5,1012,0.0,0.99,0.0,-0.0,5,0,1,5,1012,0.0,0.99,0.0,-0.0
PF00507,PF00499,5,2,1,4,1,1012,0.5,1.0,0.2,0.31,2,1,4,1,1012,0.5,1.0,0.2,0.31
PF10587,PF00736,18,28,18,0,10,990,0.64,0.99,1.0,0.8,28,18,0,10,990,0.64,0.99,1.0,0.8
PF11245,PF08497,0,0,0,0,0,1018,0,1.0,0,0,0,0,0,0,1018,0,1.0,0,0
PF02543,PF12241,3,1,0,3,1,1014,0.0,1.0,0.0,-0.0,1,0,3,1,1014,0.0,1.0,0.0,-0.0
PF05060,PF04088,3,2,1,2,1,1014,0.5,1.0,0.33,0.41,2,1,2,1,1014,0.5,1.0,0.33,0.41
PF00172,PF12013,139,11,10,129,1,878,0.91,0.87,0.07,0.24,11,10,129,1,878,0.91,0.87,0.07,0.24
PF02759,PF00566,32,84,19,13,65,921,0.23,0.92,0.59,0.33,84,19,13,65,921,0.23,0.92,0.59,0.33
PF07421,PF10974,1,0,0,1,0,1017,0,1.0,0.0,0,0,0,1,0,1017,0,1.0,0.0,0
PF04854,PF16784,2,0,0,2,0,1016,0,1.0,0.0,0,0,0,2,0,1016,0,1.0,0.0,0
PF15433,PF06783,10,2,0,10,2,1006,0.0,0.99,0.0,-0.0,2,0,10,2,1006,0.0,0.99,0.0,-0.0
PF07745,PF15173,7,0,0,7,0,1011,0,0.99,0.0,0,0,0,7,0,1011,0,0.99,0.0,0
PF09072,PF16499,7,20,4,3,16,995,0.2,0.98,0.57,0.33,20,4,3,16,995,0.2,0.98,0.57,0.33
PF10250,PF09335,36,22,5,31,17,965,0.23,0.95,0.14,0.15,22,5,31,17,965,0.23,0.95,0.14,0.15
PF05568,PF05881,0,4,0,0,4,1014,0.0,1.0,0,0,4,0,0,4,1014,0.0,1.0,0,0
PF16493,PF07526,1,4,1,0,3,1014,0.25,1.0,1.0,0.5,4,1,0,3,1014,0.25,1.0,1.0,0.5
PF11870,PF02589,0,6,0,0,6,1012,0.0,0.99,0,0,6,0,0,6,1012,0.0,0.99,0,0
PF15879,PF10310,5,2,1,4,1,1012,0.5,1.0,0.2,0.31,2,1,4,1,1012,0.5,1.0,0.2,0.31
PF10233,PF15359,8,2,1,7,1,1009,0.5,0.99,0.12,0.25,2,1,7,1,1009,0.5,0.99,0.12,0.25
PF12604,PF03406,0,0,0,0,0,1018,0,1.0,0,0,0,0,0,0,1018,0,1.0,0,0
PF08096,PF07042,0,0,0,0,0,1018,0,1.0,0,0,0,0,0,0,1018,0,1.0,0,0
PF04263,PF04265,19,14,13,6,1,998,0.93,0.99,0.68,0.79,14,13,6,1,998,0.93,0.99,0.68,0.79
PF09458,PF14200,12,5,2,10,3,1003,0.4,0.99,0.17,0.25,5,2,10,3,1003,0.4,0.99,0.17,0.25
PF04856,PF00714,0,1,0,0,1,1017,0.0,1.0,0,0,1,0,0,1,1017,0.0,1.0,0,0
PF01883,PF10609,16,21,3,13,18,984,0.14,0.97,0.19,0.15,21,3,13,18,984,0.14,0.97,0.19,0.15
PF12973,PF09056,3,4,2,1,2,1013,0.5,1.0,0.67,0.58,4,2,1,2,1013,0.5,1.0,0.67,0.58
PF07686,PF08205,57,29,20,37,9,952,0.69,0.95,0.35,0.47,29,20,37,9,952,0.69,0.95,0.35,0.47
PF10454,PF06695,0,0,0,0,0,1018,0,1.0,0,0,0,0,0,0,1018,0,1.0,0,0
PF12020,PF04901,0,2,0,0,2,1016,0.0,1.0,0,0,2,0,0,2,1016,0.0,1.0,0,0
PF04459,PF02217,0,3,0,0,3,1015,0.0,1.0,0,0,3,0,0,3,1015,0.0,1.0,0,0
PF03800,PF15066,3,0,0,3,0,1015,0,1.0,0.0,0,0,0,3,0,1015,0,1.0,0.0,0
PF13614,PF10407,14,0,0,14,0,1004,0,0.99,0.0,0,0,0,14,0,1004,0,0.99,0.0,0
PF07317,PF01750,0,2,0,0,2,1016,0.0,1.0,0,0,2,0,0,2,1016,0.0,1.0,0,0
