ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Recall,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Recall,Consensus Hit Rate,Consensus MCC
PF00001,PF07047:PF00398:PF04103,131,30,18,113,12,860,0.6,0.88,0.14,0.14,0.24,5,5,126,0,872,1.0,0.87,0.04,0.04,0.18
PF00002,PF13676:PF12171:PF07717,56,94,30,26,64,883,0.32,0.91,0.54,0.54,0.37,28,16,40,12,935,0.57,0.95,0.29,0.29,0.38
PF00003,PF00497:PF10565:PF02204,32,50,16,16,34,937,0.32,0.95,0.5,0.5,0.38,14,10,22,4,967,0.71,0.97,0.31,0.31,0.46
PF00004,PF08477:PF12849:PF13388,155,39,25,130,14,834,0.64,0.86,0.16,0.16,0.27,2,2,153,0,848,1.0,0.85,0.01,0.01,0.1
PF00005,PF02893:PF03101:PF03564,165,79,45,120,34,804,0.57,0.85,0.27,0.27,0.32,15,13,152,2,836,0.87,0.85,0.08,0.08,0.23
PF00006,PF00306:PF02204:PF01342,46,46,19,27,27,930,0.41,0.95,0.41,0.41,0.38,7,6,40,1,956,0.86,0.96,0.13,0.13,0.33
PF00007,PF11630:PF06446:PF13698,9,0,0,9,0,994,0,0.99,0.0,0.0,0,0,0,9,0,994,0,0.99,0.0,0.0,0
PF00008,PF12661:PF11936:PF00594,76,46,41,35,5,922,0.89,0.96,0.54,0.54,0.68,5,5,71,0,927,1.0,0.93,0.07,0.07,0.25
PF00010,PF03067:PF09815:PF12259,99,36,19,80,17,887,0.53,0.9,0.19,0.19,0.28,5,5,94,0,904,1.0,0.91,0.05,0.05,0.21
PF00011,PF10639:PF00436:PF06632,34,34,12,22,22,947,0.35,0.96,0.35,0.35,0.33,4,3,31,1,968,0.75,0.97,0.09,0.09,0.25
PF00012,PF09728:PF04908:PF00808,69,56,25,44,31,903,0.45,0.93,0.36,0.36,0.36,8,7,62,1,933,0.88,0.94,0.1,0.1,0.29
PF00013,PF09005:PF16274:PF12171,70,45,26,44,19,914,0.58,0.94,0.37,0.37,0.43,6,6,64,0,933,1.0,0.94,0.09,0.09,0.28
PF00014,PF14625:PF12171:PF00620,47,103,22,25,81,875,0.21,0.89,0.47,0.47,0.27,27,13,34,14,942,0.48,0.95,0.28,0.28,0.34
PF00015,PF13879:PF05556:PF01569,12,49,6,6,43,948,0.12,0.95,0.5,0.5,0.23,4,2,10,2,989,0.5,0.99,0.17,0.17,0.28
PF00016,PF14980:PF11341:PF02425,5,2,0,5,2,996,0.0,0.99,0.0,0.0,-0.0,0,0,5,0,998,0,1.0,0.0,0.0,0
PF00017,PF05406:PF02902:PF14521,73,88,25,48,63,867,0.28,0.89,0.34,0.34,0.25,8,6,67,2,928,0.75,0.93,0.08,0.08,0.23
PF00018,PF14604:PF00620:PF12171,97,128,61,36,67,839,0.48,0.9,0.63,0.63,0.49,42,33,64,9,897,0.79,0.93,0.34,0.34,0.49
PF00019,PF11341:PF02025:PF15696,20,4,1,19,3,980,0.25,0.98,0.05,0.05,0.1,0,0,20,0,983,0,0.98,0.0,0.0,0
PF00020,PF00531:PF01342:PF13352,21,43,14,7,29,953,0.33,0.96,0.67,0.67,0.45,5,2,19,3,979,0.4,0.98,0.1,0.1,0.19
PF00021,PF07762:PF00379:PF00929,5,77,2,3,75,923,0.03,0.92,0.4,0.4,0.09,17,0,5,17,981,0.0,0.98,0.0,0.0,-0.01
PF00022,PF00654:PF08214:PF09815,59,63,20,39,43,901,0.32,0.92,0.34,0.34,0.28,8,6,53,2,942,0.75,0.95,0.1,0.1,0.26
PF00023,PF13606:PF11929:PF16553,108,49,36,72,13,882,0.73,0.92,0.33,0.33,0.46,3,3,105,0,895,1.0,0.9,0.03,0.03,0.16
PF00024,PF04181:PF14244:PF12807,52,39,14,38,25,926,0.36,0.94,0.27,0.27,0.28,4,3,49,1,950,0.75,0.95,0.06,0.06,0.2
PF00025,PF10523:PF07762:PF09814,64,29,15,49,14,925,0.52,0.94,0.23,0.23,0.32,6,6,58,0,939,1.0,0.94,0.09,0.09,0.3
PF00026,PF08016:PF07762:PF10523,58,45,16,42,29,916,0.36,0.93,0.28,0.28,0.28,6,5,53,1,944,0.83,0.95,0.09,0.09,0.26
PF00027,PF10536:PF14719:PF03359,83,30,18,65,12,908,0.6,0.92,0.22,0.22,0.33,4,3,80,1,919,0.75,0.92,0.04,0.04,0.15
