ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Hit Rate,Consensus MCC
PF14365,PF03080,2,7,1,1,6,1018,0.14,0.99,0.5,0.26,7,1,1,6,1018,0.14,0.99,0.5,0.26
PF16173,PF16116,0,0,0,0,0,1026,0,1.0,0,0,0,0,0,0,1026,0,1.0,0,0
PF04613,PF13720,7,0,0,7,0,1019,0,0.99,0.0,0,0,0,7,0,1019,0,0.99,0.0,0
PF15342,PF10571,1,0,0,1,0,1025,0,1.0,0.0,0,0,0,1,0,1025,0,1.0,0.0,0
PF16511,PF09141,10,6,6,4,0,1016,1.0,1.0,0.6,0.77,6,6,4,0,1016,1.0,1.0,0.6,0.77
PF04921,PF09496,4,3,0,4,3,1019,0.0,0.99,0.0,-0.0,3,0,4,3,1019,0.0,0.99,0.0,-0.0
PF12585,PF08591,0,0,0,0,0,1026,0,1.0,0,0,0,0,0,0,1026,0,1.0,0,0
PF15823,PF07157,0,0,0,0,0,1026,0,1.0,0,0,0,0,0,0,1026,0,1.0,0,0
PF01513,PF01758,11,5,2,9,3,1012,0.4,0.99,0.18,0.26,5,2,9,3,1012,0.4,0.99,0.18,0.26
PF00199,PF06628,12,9,9,3,0,1014,1.0,1.0,0.75,0.86,9,9,3,0,1014,1.0,1.0,0.75,0.86
PF09684,PF06082,0,0,0,0,0,1026,0,1.0,0,0,0,0,0,0,1026,0,1.0,0,0
PF13870,PF06211,0,3,0,0,3,1023,0.0,1.0,0,0,3,0,0,3,1023,0.0,1.0,0,0
PF13775,PF09667,3,0,0,3,0,1023,0,1.0,0.0,0,0,0,3,0,1023,0,1.0,0.0,0
PF08381,PF13713,5,3,3,2,0,1021,1.0,1.0,0.6,0.77,3,3,2,0,1021,1.0,1.0,0.6,0.77
PF03639,PF02015,6,3,2,4,1,1019,0.67,1.0,0.33,0.47,3,2,4,1,1019,0.67,1.0,0.33,0.47
PF08374,PF16492,1,1,1,0,0,1025,1.0,1.0,1.0,1.0,1,1,0,0,1025,1.0,1.0,1.0,1.0
PF04945,PF13296,0,0,0,0,0,1026,0,1.0,0,0,0,0,0,0,1026,0,1.0,0,0
PF00181,PF07985,15,7,4,11,3,1008,0.57,0.99,0.27,0.38,7,4,11,3,1008,0.57,0.99,0.27,0.38
PF08773,PF08127,2,3,1,1,2,1022,0.33,1.0,0.5,0.41,3,1,1,2,1022,0.33,1.0,0.5,0.41
PF03725,PF01138,16,40,15,1,25,985,0.38,0.97,0.94,0.58,40,15,1,25,985,0.38,0.97,0.94,0.58
PF12179,PF14593,1,2,1,0,1,1024,0.5,1.0,1.0,0.71,2,1,0,1,1024,0.5,1.0,1.0,0.71
PF11803,PF04321,0,7,0,0,7,1019,0.0,0.99,0,0,7,0,0,7,1019,0.0,0.99,0,0
PF08145,PF04494,4,9,0,4,9,1013,0.0,0.99,0.0,-0.01,9,0,4,9,1013,0.0,0.99,0.0,-0.01
PF04228,PF05509,0,1,0,0,1,1025,0.0,1.0,0,0,1,0,0,1,1025,0.0,1.0,0,0
PF16002,PF12213,2,3,1,1,2,1022,0.33,1.0,0.5,0.41,3,1,1,2,1022,0.33,1.0,0.5,0.41
PF02735,PF03731,13,12,12,1,0,1013,1.0,1.0,0.92,0.96,12,12,1,0,1013,1.0,1.0,0.92,0.96
PF11756,PF01476,0,27,0,0,27,999,0.0,0.97,0,0,27,0,0,27,999,0.0,0.97,0,0
PF14955,PF14935,6,1,0,6,1,1019,0.0,0.99,0.0,-0.0,1,0,6,1,1019,0.0,0.99,0.0,-0.0
PF10035,PF02588,1,1,1,0,0,1025,1.0,1.0,1.0,1.0,1,1,0,0,1025,1.0,1.0,1.0,1.0
PF10595,PF09728,2,9,1,1,8,1016,0.11,0.99,0.5,0.23,9,1,1,8,1016,0.11,0.99,0.5,0.23
PF06468,PF02014,4,7,1,3,6,1016,0.14,0.99,0.25,0.18,7,1,3,6,1016,0.14,0.99,0.25,0.18
PF07497,PF11421,3,4,0,3,4,1019,0.0,0.99,0.0,-0.0,4,0,3,4,1019,0.0,0.99,0.0,-0.0
PF08423,PF04005,25,8,4,21,4,997,0.5,0.98,0.16,0.27,8,4,21,4,997,0.5,0.98,0.16,0.27
PF11489,PF06420,0,1,0,0,1,1025,0.0,1.0,0,0,1,0,0,1,1025,0.0,1.0,0,0
PF10274,PF11977,6,6,3,3,3,1017,0.5,0.99,0.5,0.5,6,3,3,3,1017,0.5,0.99,0.5,0.5
PF04347,PF15681,1,2,0,1,2,1023,0.0,1.0,0.0,-0.0,2,0,1,2,1023,0.0,1.0,0.0,-0.0
PF04505,PF06083,7,1,0,7,1,1018,0.0,0.99,0.0,-0.0,1,0,7,1,1018,0.0,0.99,0.0,-0.0
PF16422,PF16423,1,1,1,0,0,1025,1.0,1.0,1.0,1.0,1,1,0,0,1025,1.0,1.0,1.0,1.0
PF08202,PF13230,5,4,0,5,4,1017,0.0,0.99,0.0,-0.0,4,0,5,4,1017,0.0,0.99,0.0,-0.0
PF07716,PF00170,30,26,8,22,18,978,0.31,0.96,0.27,0.27,26,8,22,18,978,0.31,0.96,0.27,0.27
PF02779,PF00456,38,9,7,31,2,986,0.78,0.97,0.18,0.37,9,7,31,2,986,0.78,0.97,0.18,0.37
PF00778,PF02377,6,2,2,4,0,1020,1.0,1.0,0.33,0.58,2,2,4,0,1020,1.0,1.0,0.33,0.58
PF06814,PF03195,7,4,1,6,3,1016,0.25,0.99,0.14,0.18,4,1,6,3,1016,0.25,0.99,0.14,0.18
PF05290,PF08873,0,0,0,0,0,1026,0,1.0,0,0,0,0,0,0,1026,0,1.0,0,0
PF03709,PF09950,0,0,0,0,0,1026,0,1.0,0,0,0,0,0,0,1026,0,1.0,0,0
PF06753,PF10285,1,0,0,1,0,1025,0,1.0,0.0,0,0,0,1,0,1025,0,1.0,0.0,0
PF06324,PF17056,1,1,0,1,1,1024,0.0,1.0,0.0,-0.0,1,0,1,1,1024,0.0,1.0,0.0,-0.0
PF17105,PF12157,1,8,0,1,8,1017,0.0,0.99,0.0,-0.0,8,0,1,8,1017,0.0,0.99,0.0,-0.0
PF00712,PF02768,4,4,4,0,0,1022,1.0,1.0,1.0,1.0,4,4,0,0,1022,1.0,1.0,1.0,1.0
PF06330,PF06581,2,1,0,2,1,1023,0.0,1.0,0.0,-0.0,1,0,2,1,1023,0.0,1.0,0.0,-0.0
PF14318,PF00946,2,2,2,0,0,1024,1.0,1.0,1.0,1.0,2,2,0,0,1024,1.0,1.0,1.0,1.0
PF04865,PF08479,0,0,0,0,0,1026,0,1.0,0,0,0,0,0,0,1026,0,1.0,0,0
