ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Hit Rate,Consensus MCC
PF03364,PF11303:PF10275:PF00452:PF14547:PF13088:PF01712:PF01127:PF00494:PF07896:PF03162,23,95,15,8,80,2255,0.16,0.96,0.65,0.31,1,0,23,1,2334,0.0,0.99,0.0,-0.0
PF07444,PF12046:PF00737:PF00489:PF08576:PF15550:PF17056:PF14866:PF02427:PF08092:PF09232,0,18,0,0,18,2340,0.0,0.99,0,0,0,0,0,0,2358,0,1.0,0,0
PF15095,PF06773:PF13588:PF06876:PF15325:PF16590:PF14659:PF15676:PF12161:PF09074:PF05456,1,16,0,1,16,2341,0.0,0.99,0.0,-0.0,0,0,1,0,2357,0,1.0,0.0,0
PF11942,PF03439:PF00467:PF02357:PF16121:PF08071:PF01777:PF07780:PF17136:PF06011:PF12656,15,123,15,0,108,2235,0.12,0.95,1.0,0.34,3,2,13,1,2342,0.67,0.99,0.13,0.3
PF03151,PF04230:PF05019:PF00244:PF14368:PF14009:PF05197:PF01907:PF00230:PF01126:PF03386,64,146,32,32,114,2180,0.22,0.94,0.5,0.3,3,3,61,0,2294,1.0,0.97,0.05,0.21
PF09825,PF02237:PF10437:PF10210:PF03413:PF00745:PF05201:PF07504:PF08501:PF03481:PF08029,6,69,4,2,65,2287,0.06,0.97,0.67,0.19,1,0,6,1,2351,0.0,1.0,0.0,-0.0
PF02261,PF07499:PF04355:PF01312:PF12477:PF17188:PF03043:PF09483:PF14258:PF11034:PF04328,4,17,0,4,17,2337,0.0,0.99,0.0,-0.0,0,0,4,0,2354,0,1.0,0.0,0
PF04672,PF09479:PF02495:PF08827:PF10796:PF09067:PF07227:PF05926:PF17058:PF05103:PF17075,0,11,0,0,11,2347,0.0,1.0,0,0,0,0,0,0,2358,0,1.0,0,0
PF03633,PF03636:PF03632:PF03413:PF06165:PF16874:PF16875:PF07504:PF08302:PF15459:PF09511,2,45,2,0,43,2313,0.04,0.98,1.0,0.21,0,0,2,0,2356,0,1.0,0.0,0
PF08919,PF09027:PF15303:PF08416:PF07001:PF10606:PF14726:PF08917:PF15557:PF13543:PF12372,13,44,5,8,39,2306,0.11,0.98,0.38,0.2,0,0,13,0,2345,0,0.99,0.0,0
PF01846,PF16512:PF09445:PF12237:PF00639:PF06220:PF10258:PF01985:PF09068:PF05769:PF10291,37,134,29,8,105,2216,0.22,0.95,0.78,0.4,2,2,35,0,2321,1.0,0.99,0.05,0.23
PF05433,PF08881:PF03883:PF05512:PF07386:PF05532:PF08649:PF02202:PF05387:PF10310:PF09415,8,36,2,6,34,2316,0.06,0.98,0.25,0.11,0,0,8,0,2350,0,1.0,0.0,0
PF10659,PF13206:PF00913:PF03409:PF10322:PF08102:PF09774:PF14942:PF10319:PF06671:PF01353,3,25,1,2,24,2331,0.04,0.99,0.33,0.11,0,0,3,0,2355,0,1.0,0.0,0
PF02788,PF00016:PF01328:PF16401:PF00928:PF02244:PF02214:PF03952:PF04083:PF13344:PF13679,7,232,4,3,228,2123,0.02,0.9,0.57,0.09,11,1,6,10,2341,0.09,0.99,0.14,0.11
PF05793,PF10200:PF08661:PF07477:PF15350:PF03648:PF09775:PF07488:PF02278:PF01684:PF04493,27,50,13,14,37,2294,0.26,0.98,0.48,0.34,0,0,27,0,2331,0,0.99,0.0,0
PF16853,PF04349:PF07833:PF13421:PF14842:PF16967:PF02217:PF06222:PF08453:PF07434:PF02554,4,21,1,3,20,2334,0.05,0.99,0.25,0.11,0,0,4,0,2354,0,1.0,0.0,0
PF02503,PF13090:PF03090:PF05939:PF02336:PF04865:PF06890:PF13722:PF06798:PF03406:PF08258,3,11,3,0,8,2347,0.27,1.0,1.0,0.52,0,0,3,0,2355,0,1.0,0.0,0
PF00236,PF05039:PF00714:PF00537:PF00214:PF02024:PF00727:PF01241:PF06351:PF06446:PF10839,4,18,2,2,16,2338,0.11,0.99,0.5,0.23,1,1,3,0,2354,1.0,1.0,0.25,0.5
PF10157,PF01221:PF06039:PF10454:PF05564:PF15219:PF08508:PF15152:PF14972:PF05996:PF15503,17,59,12,5,47,2294,0.2,0.98,0.71,0.37,0,0,17,0,2341,0,0.99,0.0,0
PF06042,PF06681:PF05962:PF09962:PF02979:PF14539:PF06403:PF14512:PF12192:PF03745:PF14290,2,13,0,2,13,2343,0.0,0.99,0.0,-0.0,0,0,2,0,2356,0,1.0,0.0,0
PF13726,PF14983:PF12241:PF03922:PF14882:PF03971:PF13746:PF02277:PF07805:PF13663:PF02501,2,32,2,0,30,2326,0.06,0.99,1.0,0.25,0,0,2,0,2356,0,1.0,0.0,0
PF08539,PF05841:PF08634:PF12927:PF13810:PF10361:PF08630:PF12527:PF16091:PF15759:PF05508,6,25,3,3,22,2330,0.12,0.99,0.5,0.24,0,0,6,0,2352,0,1.0,0.0,0
PF15835,PF00034:PF07062:PF10477:PF02312:PF05770:PF04311:PF00042:PF03405:PF15932:PF04219,0,97,0,0,97,2261,0.0,0.96,0,0,0,0,0,0,2358,0,1.0,0,0
PF03343,PF03386:PF08746:PF04006:PF05129:PF05693:PF03298:PF10483:PF01910:PF06825:PF15388,15,78,8,7,70,2273,0.1,0.97,0.53,0.22,0,0,15,0,2343,0,0.99,0.0,0
PF03405,PF05910:PF00197:PF06404:PF04720:PF10604:PF06749:PF04535:PF14476:PF06376:PF05042,7,65,4,3,61,2290,0.06,0.97,0.57,0.18,1,0,7,1,2350,0.0,1.0,0.0,-0.0
PF14632,PF14641:PF14639:PF14635:PF14878:PF14633:PF09371:PF08529:PF16921:PF13184:PF08206,15,25,14,1,11,2332,0.56,0.99,0.93,0.72,2,1,14,1,2342,0.5,0.99,0.07,0.18
PF08362,PF07157:PF13722:PF01752:PF15143:PF11751:PF08021:PF12256:PF08708:PF04610:PF13861,2,17,1,1,16,2340,0.06,0.99,0.5,0.17,0,0,2,0,2356,0,1.0,0.0,0
PF13597,PF12345:PF06969:PF06968:PF10105:PF15922:PF11842:PF13186:PF06962:PF08608:PF16881,8,56,5,3,51,2299,0.09,0.98,0.62,0.23,2,2,6,0,2350,1.0,1.0,0.25,0.5
