ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Recall,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Recall,Consensus Hit Rate,Consensus MCC
PF00001,PF07047:PF00398:PF04103:PF00457:PF05637,27,10,7,20,3,282,0.7,0.93,0.26,0.26,0.4,1,1,26,0,285,1.0,0.92,0.04,0.04,0.18
PF00002,PF13676:PF12171:PF07717:PF04146:PF08074,11,29,6,5,23,278,0.21,0.91,0.55,0.55,0.3,4,4,7,0,301,1.0,0.98,0.36,0.36,0.6
PF00003,PF00497:PF10565:PF02204:PF01985:PF14893,6,6,3,3,3,303,0.5,0.98,0.5,0.5,0.49,2,2,4,0,306,1.0,0.99,0.33,0.33,0.57
PF00004,PF08477:PF12849:PF13388:PF00100:PF03067,40,18,11,29,7,265,0.61,0.88,0.28,0.28,0.36,2,2,38,0,272,1.0,0.88,0.05,0.05,0.21
PF00005,PF02893:PF03101:PF03564:PF13961:PF03732,47,20,12,35,8,257,0.6,0.86,0.26,0.26,0.33,3,3,44,0,265,1.0,0.86,0.06,0.06,0.23
PF00006,PF00306:PF02204:PF01342:PF02488:PF11341,13,12,8,5,4,295,0.67,0.97,0.62,0.62,0.63,0,0,13,0,299,0,0.96,0.0,0.0,0
PF00007,PF11630:PF06446:PF13698:PF02488:PF02024,4,1,1,3,0,308,1.0,0.99,0.25,0.25,0.5,0,0,4,0,308,0,0.99,0.0,0.0,0
PF00008,PF12661:PF11936:PF00594:PF00054:PF01463,15,11,9,6,2,295,0.82,0.97,0.6,0.6,0.69,3,3,12,0,297,1.0,0.96,0.2,0.2,0.44
PF00010,PF03067:PF09815:PF12259:PF13914:PF07530,16,14,7,9,7,289,0.5,0.95,0.44,0.44,0.44,0,0,16,0,296,0,0.95,0.0,0.0,0
PF00011,PF10639:PF00436:PF06632:PF14622:PF03969,7,9,4,3,5,300,0.44,0.97,0.57,0.57,0.49,1,1,6,0,305,1.0,0.98,0.14,0.14,0.37
PF00012,PF09728:PF04908:PF00808:PF14728:PF03443,10,14,7,3,7,295,0.5,0.97,0.7,0.7,0.58,3,3,7,0,302,1.0,0.98,0.3,0.3,0.54
PF00013,PF09005:PF16274:PF12171:PF12072:PF16544,12,11,7,5,4,296,0.64,0.97,0.58,0.58,0.59,0,0,12,0,300,0,0.96,0.0,0.0,0
PF00014,PF14625:PF12171:PF00620:PF00160:PF14604,7,38,7,0,31,274,0.18,0.9,1.0,1.0,0.41,7,5,2,2,303,0.71,0.99,0.71,0.71,0.71
PF00015,PF13879:PF05556:PF01569:PF05678:PF15247,2,15,2,0,13,297,0.13,0.96,1.0,1.0,0.36,0,0,2,0,310,0,0.99,0.0,0.0,0
PF00016,PF14980:PF11341:PF02425:PF07589:PF09122,1,1,0,1,1,310,0.0,0.99,0.0,0.0,-0.0,0,0,1,0,311,0,1.0,0.0,0.0,0
PF00017,PF05406:PF02902:PF14521:PF00177:PF00139,18,20,8,10,12,282,0.4,0.93,0.44,0.44,0.38,4,4,14,0,294,1.0,0.96,0.22,0.22,0.46
PF00018,PF14604:PF00620:PF12171:PF03732:PF04181,31,38,15,16,23,258,0.39,0.88,0.48,0.48,0.37,6,6,25,0,281,1.0,0.92,0.19,0.19,0.42
PF00019,PF11341:PF02025:PF15696:PF15337:PF12628,7,5,1,6,4,301,0.2,0.97,0.14,0.14,0.15,0,0,7,0,305,0,0.98,0.0,0.0,0
PF00020,PF00531:PF01342:PF13352:PF02365:PF04403,3,9,3,0,6,303,0.33,0.98,1.0,1.0,0.57,0,0,3,0,309,0,0.99,0.0,0.0,0
PF00021,PF07762:PF00379:PF00929:PF09814:PF01655,4,13,3,1,10,298,0.23,0.96,0.75,0.75,0.4,3,1,3,2,306,0.33,0.98,0.25,0.25,0.28
PF00022,PF00654:PF08214:PF09815:PF03133:PF02338,19,34,11,8,23,270,0.32,0.9,0.58,0.58,0.38,4,4,15,0,293,1.0,0.95,0.21,0.21,0.45
PF00023,PF13606:PF11929:PF16553:PF11904:PF07525,18,12,7,11,5,289,0.58,0.95,0.39,0.39,0.45,1,1,17,0,294,1.0,0.95,0.06,0.06,0.23
PF00024,PF04181:PF14244:PF12807:PF02023:PF13961,9,8,4,5,4,299,0.5,0.97,0.44,0.44,0.46,3,3,6,0,303,1.0,0.98,0.33,0.33,0.57
PF00025,PF10523:PF07762:PF09814:PF03914:PF09362,17,10,7,10,3,292,0.7,0.96,0.41,0.41,0.52,1,1,16,0,295,1.0,0.95,0.06,0.06,0.24
PF00026,PF08016:PF07762:PF10523:PF00929:PF14521,11,15,6,5,9,292,0.4,0.96,0.55,0.55,0.44,2,2,9,0,301,1.0,0.97,0.18,0.18,0.42
PF00027,PF10536:PF14719:PF03359:PF00566:PF08719,16,26,6,10,20,276,0.23,0.9,0.38,0.38,0.25,5,5,11,0,296,1.0,0.96,0.31,0.31,0.55
PF00028,PF15974:PF01049:PF16319:PF02759:PF12807,12,13,5,7,8,292,0.38,0.95,0.42,0.42,0.38,1,1,11,0,300,1.0,0.96,0.08,0.08,0.28
PF00029,PF02076:PF03619:PF02116:PF02182:PF12298,4,10,2,2,8,300,0.2,0.97,0.5,0.5,0.3,1,1,3,0,308,1.0,0.99,0.25,0.25,0.5
