ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Hit Rate,Consensus MCC
PF16403,PF08305:PF08919:PF13402,2,2,0,2,2,310,0.0,0.99,0.0,-0.01,0,0,2,0,312,0,0.99,0.0,0
PF07837,PF04961:PF02971:PF14687,0,1,0,0,1,313,0.0,1.0,0,0,0,0,0,0,314,0,1.0,0,0
PF15471,PF04965:PF08867:PF05939,0,0,0,0,0,314,0,1.0,0,0,0,0,0,0,314,0,1.0,0,0
PF10116,PF06082:PF03090:PF11775,0,0,0,0,0,314,0,1.0,0,0,0,0,0,0,314,0,1.0,0,0
PF00841,PF04892:PF15775:PF03739,2,1,0,2,1,311,0.0,0.99,0.0,-0.0,0,0,2,0,312,0,0.99,0.0,0
PF10562,PF10565:PF04069:PF08636,1,1,1,0,0,313,1.0,1.0,1.0,1.0,1,1,0,0,313,1.0,1.0,1.0,1.0
PF15030,PF03344:PF06513:PF05715,0,1,0,0,1,313,0.0,1.0,0,0,0,0,0,0,314,0,1.0,0,0
PF11086,PF03860:PF13401:PF01130,0,9,0,0,9,305,0.0,0.97,0,0,1,0,0,1,313,0.0,1.0,0,0
PF01111,PF10203:PF10471:PF02044,1,3,0,1,3,310,0.0,0.99,0.0,-0.01,0,0,1,0,313,0,1.0,0.0,0
PF10557,PF00888:PF08672:PF03256,6,15,6,0,9,299,0.4,0.97,1.0,0.62,5,0,6,5,303,0.0,0.96,0.0,-0.02
PF04754,PF06952:PF01668:PF15023,0,1,0,0,1,313,0.0,1.0,0,0,0,0,0,0,314,0,1.0,0,0
PF06930,PF08373:PF03485:PF05746,0,9,0,0,9,305,0.0,0.97,0,0,5,0,0,5,309,0.0,0.98,0,0
PF03108,PF04434:PF10551:PF10532,2,8,2,0,6,306,0.25,0.98,1.0,0.5,1,1,1,0,312,1.0,1.0,0.5,0.71
PF10377,PF15246:PF16501:PF07765,0,0,0,0,0,314,0,1.0,0,0,0,0,0,0,314,0,1.0,0,0
PF10503,PF00457:PF01083:PF03664,2,5,2,0,3,309,0.4,0.99,1.0,0.63,3,2,0,1,311,0.67,1.0,1.0,0.82
PF01371,PF08414:PF01979:PF04992,1,9,1,0,8,305,0.11,0.97,1.0,0.33,3,1,0,2,311,0.33,0.99,1.0,0.58
PF04437,PF08318:PF16061:PF11571,6,7,4,2,3,305,0.57,0.98,0.67,0.61,0,0,6,0,308,0,0.98,0.0,0
PF09607,PF04236:PF09026:PF04218,1,4,1,0,3,310,0.25,0.99,1.0,0.5,2,0,1,2,311,0.0,0.99,0.0,-0.0
PF01048,PF17107:PF13374:PF06985,5,16,4,1,12,297,0.25,0.96,0.8,0.43,4,3,2,1,308,0.75,0.99,0.6,0.67
PF12753,PF08310:PF17084:PF04552,1,0,0,1,0,313,0,1.0,0.0,0,0,0,1,0,313,0,1.0,0.0,0
