ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Recall,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Recall,Consensus Hit Rate,Consensus MCC
PF00001,PF07047,257,22,15,242,7,2094,0.68,0.89,0.06,0.06,0.18,22,15,242,7,2094,0.68,0.89,0.06,0.06,0.18
PF00002,PF13676,102,45,30,72,15,2241,0.67,0.96,0.29,0.29,0.43,45,30,72,15,2241,0.67,0.96,0.29,0.29,0.43
PF00003,PF00497,57,46,27,30,19,2282,0.59,0.98,0.47,0.47,0.52,46,27,30,19,2282,0.59,0.98,0.47,0.47,0.52
PF00004,PF08477,328,68,44,284,24,2006,0.65,0.87,0.13,0.13,0.25,68,44,284,24,2006,0.65,0.87,0.13,0.13,0.25
PF00005,PF02893,342,68,45,297,23,1993,0.66,0.86,0.13,0.13,0.25,68,45,297,23,1993,0.66,0.86,0.13,0.13,0.25
PF00006,PF00306,92,31,28,64,3,2263,0.9,0.97,0.3,0.3,0.52,31,28,64,3,2263,0.9,0.97,0.3,0.3,0.52
PF00007,PF11630,19,0,0,19,0,2339,0,0.99,0.0,0.0,0,0,0,19,0,2339,0,0.99,0.0,0.0,0
PF00008,PF12661,158,81,75,83,6,2194,0.93,0.96,0.47,0.47,0.65,81,75,83,6,2194,0.93,0.96,0.47,0.47,0.65
PF00010,PF03067,183,38,20,163,18,2157,0.53,0.92,0.11,0.11,0.21,38,20,163,18,2157,0.53,0.92,0.11,0.11,0.21
PF00011,PF10639,55,22,6,49,16,2287,0.27,0.97,0.11,0.11,0.16,22,6,49,16,2287,0.27,0.97,0.11,0.11,0.16
PF00012,PF09728,126,23,10,116,13,2219,0.43,0.95,0.08,0.08,0.17,23,10,116,13,2219,0.43,0.95,0.08,0.08,0.17
PF00013,PF09005,131,16,16,115,0,2227,1.0,0.95,0.12,0.12,0.34,16,16,115,0,2227,1.0,0.95,0.12,0.12,0.34
PF00014,PF14625,83,23,23,60,0,2275,1.0,0.97,0.28,0.28,0.52,23,23,60,0,2275,1.0,0.97,0.28,0.28,0.52
