ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Hit Rate,Consensus MCC
PF08879,PF08880,8,20,6,2,14,2336,0.3,0.99,0.75,0.47,20,6,2,14,2336,0.3,0.99,0.75,0.47
PF07075,PF10106,4,1,0,4,1,2353,0.0,1.0,0.0,-0.0,1,0,4,1,2353,0.0,1.0,0.0,-0.0
PF01347,PF09172,40,27,27,13,0,2318,1.0,0.99,0.68,0.82,27,27,13,0,2318,1.0,0.99,0.68,0.82
PF08655,PF09463,16,0,0,16,0,2342,0,0.99,0.0,0,0,0,16,0,2342,0,0.99,0.0,0
PF14825,PF06541,16,0,0,16,0,2342,0,0.99,0.0,0,0,0,16,0,2342,0,0.99,0.0,0
PF07042,PF06433,0,7,0,0,7,2351,0.0,1.0,0,0,7,0,0,7,2351,0.0,1.0,0,0
PF07811,PF03470,0,4,0,0,4,2354,0.0,1.0,0,0,4,0,0,4,2354,0.0,1.0,0,0
PF07462,PF12946,2,7,2,0,5,2351,0.29,1.0,1.0,0.53,7,2,0,5,2351,0.29,1.0,1.0,0.53
PF01415,PF15252,4,0,0,4,0,2354,0,1.0,0.0,0,0,0,4,0,2354,0,1.0,0.0,0
PF04588,PF01896,24,18,4,20,14,2320,0.22,0.99,0.17,0.19,18,4,20,14,2320,0.22,0.99,0.17,0.19
PF00484,PF04178,35,29,12,23,17,2306,0.41,0.98,0.34,0.37,29,12,23,17,2306,0.41,0.98,0.34,0.37
PF15539,PF09332,0,10,0,0,10,2348,0.0,1.0,0,0,10,0,0,10,2348,0.0,1.0,0,0
PF14279,PF02576,0,2,0,0,2,2356,0.0,1.0,0,0,2,0,0,2,2356,0.0,1.0,0,0
PF07989,PF03801,29,15,3,26,12,2317,0.2,0.98,0.1,0.14,15,3,26,12,2317,0.2,0.98,0.1,0.14
PF12752,PF13902,24,15,4,20,11,2323,0.27,0.99,0.17,0.2,15,4,20,11,2323,0.27,0.99,0.17,0.2
PF15453,PF10375,1,1,0,1,1,2356,0.0,1.0,0.0,-0.0,1,0,1,1,2356,0.0,1.0,0.0,-0.0
PF04958,PF07642,4,0,0,4,0,2354,0,1.0,0.0,0,0,0,4,0,2354,0,1.0,0.0,0
PF12006,PF14087,13,14,2,11,12,2333,0.14,0.99,0.15,0.14,14,2,11,12,2333,0.14,0.99,0.15,0.14
PF10272,PF10148,6,9,1,5,8,2344,0.11,0.99,0.17,0.13,9,1,5,8,2344,0.11,0.99,0.17,0.13
PF14317,PF12608,0,0,0,0,0,2358,0,1.0,0,0,0,0,0,0,2358,0,1.0,0,0
PF02233,PF12769,11,9,9,2,0,2347,1.0,1.0,0.82,0.9,9,9,2,0,2347,1.0,1.0,0.82,0.9
PF01286,PF09775,11,3,0,11,3,2344,0.0,0.99,0.0,-0.0,3,0,11,3,2344,0.0,0.99,0.0,-0.0
PF03699,PF08681,1,1,0,1,1,2356,0.0,1.0,0.0,-0.0,1,0,1,1,2356,0.0,1.0,0.0,-0.0
PF13943,PF10063,9,5,0,9,5,2344,0.0,0.99,0.0,-0.0,5,0,9,5,2344,0.0,0.99,0.0,-0.0
PF15832,PF15876,3,0,0,3,0,2355,0,1.0,0.0,0,0,0,3,0,2355,0,1.0,0.0,0
PF00435,PF16901,84,19,4,80,15,2259,0.21,0.96,0.05,0.09,19,4,80,15,2259,0.21,0.96,0.05,0.09
PF02827,PF14672,3,1,0,3,1,2354,0.0,1.0,0.0,-0.0,1,0,3,1,2354,0.0,1.0,0.0,-0.0
PF05495,PF13441,22,2,2,20,0,2336,1.0,0.99,0.09,0.3,2,2,20,0,2336,1.0,0.99,0.09,0.3
PF00392,PF07702,34,9,9,25,0,2324,1.0,0.99,0.26,0.51,9,9,25,0,2324,1.0,0.99,0.26,0.51
PF00623,PF04983,57,60,57,0,3,2298,0.95,1.0,1.0,0.97,60,57,0,3,2298,0.95,1.0,1.0,0.97
PF14008,PF16656,52,47,43,9,4,2302,0.91,0.99,0.83,0.87,47,43,9,4,2302,0.91,0.99,0.83,0.87
PF03671,PF14825,14,16,3,11,13,2331,0.19,0.99,0.21,0.2,16,3,11,13,2331,0.19,0.99,0.21,0.2
PF02811,PF09587,16,9,0,16,9,2333,0.0,0.99,0.0,-0.01,9,0,16,9,2333,0.0,0.99,0.0,-0.01
PF14770,PF15071,4,0,0,4,0,2354,0,1.0,0.0,0,0,0,4,0,2354,0,1.0,0.0,0
PF00777,PF03062,44,61,16,28,45,2269,0.26,0.97,0.36,0.29,61,16,28,45,2269,0.26,0.97,0.36,0.29
PF06303,PF02020,1,52,1,0,51,2306,0.02,0.98,1.0,0.14,52,1,0,51,2306,0.02,0.98,1.0,0.14
PF04069,PF12911,13,8,4,9,4,2341,0.5,0.99,0.31,0.39,8,4,9,4,2341,0.5,0.99,0.31,0.39
PF08729,PF12480,8,8,1,7,7,2343,0.12,0.99,0.12,0.12,8,1,7,7,2343,0.12,0.99,0.12,0.12
PF07802,PF06907,5,3,1,4,2,2351,0.33,1.0,0.2,0.26,3,1,4,2,2351,0.33,1.0,0.2,0.26
PF01179,PF02728,48,28,28,20,0,2310,1.0,0.99,0.58,0.76,28,28,20,0,2310,1.0,0.99,0.58,0.76
PF13439,PF15924,31,12,4,27,8,2319,0.33,0.99,0.13,0.2,12,4,27,8,2319,0.33,0.99,0.13,0.2
