ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Hit Rate,Consensus MCC
PF00569,PF16577,15,2,2,13,0,299,1.0,0.96,0.13,0.36,2,2,13,0,299,1.0,0.96,0.13,0.36
PF00032,PF03980,4,2,1,3,1,309,0.5,0.99,0.25,0.35,2,1,3,1,309,0.5,0.99,0.25,0.35
PF15697,PF06533,0,0,0,0,0,314,0,1.0,0,0,0,0,0,0,314,0,1.0,0,0
PF16485,PF01447,0,1,0,0,1,313,0.0,1.0,0,0,1,0,0,1,313,0.0,1.0,0,0
PF00295,PF12708,5,2,2,3,0,309,1.0,0.99,0.4,0.63,2,2,3,0,309,1.0,0.99,0.4,0.63
PF12448,PF04849,0,0,0,0,0,314,0,1.0,0,0,0,0,0,0,314,0,1.0,0,0
PF10546,PF00970,0,6,0,0,6,308,0.0,0.98,0,0,6,0,0,6,308,0.0,0.98,0,0
PF14912,PF06401,0,1,0,0,1,313,0.0,1.0,0,0,1,0,0,1,313,0.0,1.0,0,0
PF06201,PF15928,6,0,0,6,0,308,0,0.98,0.0,0,0,0,6,0,308,0,0.98,0.0,0
PF05648,PF04371,6,1,1,5,0,308,1.0,0.98,0.17,0.4,1,1,5,0,308,1.0,0.98,0.17,0.4
PF10498,PF12414,0,0,0,0,0,314,0,1.0,0,0,0,0,0,0,314,0,1.0,0,0
PF15715,PF15109,0,0,0,0,0,314,0,1.0,0,0,0,0,0,0,314,0,1.0,0,0
PF00963,PF15705,1,0,0,1,0,313,0,1.0,0.0,0,0,0,1,0,313,0,1.0,0.0,0
PF02265,PF06404,1,1,0,1,1,312,0.0,0.99,0.0,-0.0,1,0,1,1,312,0.0,0.99,0.0,-0.0
PF16311,PF15141,0,0,0,0,0,314,0,1.0,0,0,0,0,0,0,314,0,1.0,0,0
PF07893,PF14800,4,0,0,4,0,310,0,0.99,0.0,0,0,0,4,0,310,0,0.99,0.0,0
PF00443,PF06337,27,3,3,24,0,287,1.0,0.92,0.11,0.32,3,3,24,0,287,1.0,0.92,0.11,0.32
PF16647,PF05355,1,3,1,0,2,311,0.33,0.99,1.0,0.58,3,1,0,2,311,0.33,0.99,1.0,0.58
PF14517,PF08535,1,0,0,1,0,313,0,1.0,0.0,0,0,0,1,0,313,0,1.0,0.0,0
PF13886,PF10505,4,3,2,2,1,309,0.67,0.99,0.5,0.57,3,2,2,1,309,0.67,0.99,0.5,0.57
PF13557,PF08274,1,0,0,1,0,313,0,1.0,0.0,0,0,0,1,0,313,0,1.0,0.0,0
PF04065,PF00649,3,1,1,2,0,311,1.0,0.99,0.33,0.58,1,1,2,0,311,1.0,0.99,0.33,0.58
PF08423,PF04005,10,1,1,9,0,304,1.0,0.97,0.1,0.31,1,1,9,0,304,1.0,0.97,0.1,0.31
PF09538,PF13965,0,1,0,0,1,313,0.0,1.0,0,0,1,0,0,1,313,0.0,1.0,0,0
PF12922,PF12717,5,11,5,0,6,303,0.45,0.98,1.0,0.67,11,5,0,6,303,0.45,0.98,1.0,0.67
PF14355,PF11363,0,0,0,0,0,314,0,1.0,0,0,0,0,0,0,314,0,1.0,0,0
