ID,Closest,No. True,No. Prediction,TP,FN,FP,TN,Precision,Accuracy,Hit Rate,MCC,No. Consensus Prediction,Consensus TP,Consensus FN,Consensus FP,Consensus TN,Consensus Precision,Consensus Accuracy,Consensus Hit Rate,Consensus MCC
PF16690,PF15390:PF14822:PF05512,3,5,0,3,5,1010,0.0,0.99,0.0,-0.0,0,0,3,0,1015,0,1.0,0.0,0
PF07004,PF04693:PF08535:PF12201,13,1,0,13,1,1004,0.0,0.99,0.0,-0.0,0,0,13,0,1005,0,0.99,0.0,0
PF13325,PF15276:PF15308:PF16508,5,13,3,2,10,1003,0.23,0.99,0.6,0.37,2,2,3,0,1013,1.0,1.0,0.4,0.63
PF07582,PF02058:PF10106:PF01292,0,8,0,0,8,1010,0.0,0.99,0,0,0,0,0,0,1018,0,1.0,0,0
PF08421,PF08484:PF11967:PF07409,2,2,2,0,0,1016,1.0,1.0,1.0,1.0,0,0,2,0,1016,0,1.0,0.0,0
PF03083,PF14811:PF04819:PF07985,15,18,5,10,13,990,0.28,0.98,0.33,0.29,1,1,14,0,1003,1.0,0.99,0.07,0.26
PF13012,PF12134:PF08084:PF01398,24,51,23,1,28,966,0.45,0.97,0.96,0.65,14,4,20,10,984,0.29,0.97,0.17,0.2
PF00731,PF02222:PF01259:PF04248,11,21,7,4,14,993,0.33,0.98,0.64,0.45,1,1,10,0,1007,1.0,0.99,0.09,0.3
PF09803,PF11093:PF06907:PF12494,10,6,1,9,5,1003,0.17,0.99,0.1,0.12,0,0,10,0,1008,0,0.99,0.0,0
PF03457,PF08426:PF04546:PF03458,6,5,1,5,4,1008,0.2,0.99,0.17,0.18,0,0,6,0,1012,0,0.99,0.0,0
PF08940,PF03428:PF14842:PF10139,0,0,0,0,0,1018,0,1.0,0,0,0,0,0,0,1018,0,1.0,0,0
PF01010,PF06455:PF00662:PF12612,1,15,1,0,14,1003,0.07,0.99,1.0,0.26,3,1,0,2,1015,0.33,1.0,1.0,0.58
PF12716,PF06912:PF09056:PF11029,0,9,0,0,9,1009,0.0,0.99,0,0,0,0,0,0,1018,0,1.0,0,0
PF08375,PF09440:PF05470:PF10602,8,30,4,4,26,984,0.13,0.97,0.5,0.25,5,1,7,4,1006,0.2,0.99,0.12,0.15
PF02447,PF07963:PF01228:PF07476,8,4,2,6,2,1008,0.5,0.99,0.25,0.35,0,0,8,0,1010,0,0.99,0.0,0
PF06508,PF08252:PF00697:PF00958,3,22,3,0,19,996,0.14,0.98,1.0,0.37,0,0,3,0,1015,0,1.0,0.0,0
PF00386,PF00229:PF12287:PF03523,24,9,3,21,6,988,0.33,0.97,0.12,0.19,1,0,24,1,993,0.0,0.98,0.0,-0.0
PF09874,PF06007:PF11876:PF07495,1,3,0,1,3,1014,0.0,1.0,0.0,-0.0,0,0,1,0,1017,0,1.0,0.0,0
PF13206,PF00913:PF10659:PF07939,0,3,0,0,3,1015,0.0,1.0,0,0,0,0,0,0,1018,0,1.0,0,0
PF17003,PF00895:PF16851:PF03379,0,2,0,0,2,1016,0.0,1.0,0,0,0,0,0,0,1018,0,1.0,0,0
PF06937,PF10856:PF15703:PF09187,0,0,0,0,0,1018,0,1.0,0,0,0,0,0,0,1018,0,1.0,0,0
PF03097,PF13949:PF02185:PF12215,33,45,29,4,16,969,0.64,0.98,0.88,0.74,5,5,28,0,985,1.0,0.97,0.15,0.38
